id,created_at,user_screen_name,user_followers_count,user_location,user_verified,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count,user_geo_enabled,Hashtags,text,Bot_or_NoBot
9.9E+17,29-04-18 2:36,DismayingCrab,212,"California, USA",FALSE,2245,15118,268,468,FALSE,"[{'indices': [37, 43], 'text': 'apple'}, {'indices': [44, 52], 'text': 'iphonex'}, {'indices': [53, 57], 'text': 'ios'}, {'indices': [58, 76], 'text': 'iphonephotography'}, {'indices': [77, 89], 'text': 'iphone8plus'}, {'indices': [90, 98], 'text': 'iphone8'}, {'indices': [99, 111], 'text': 'iphone7plus'}, {'indices': [112, 120], 'text': 'iphone7'}, {'indices': [121, 129], 'text': 'macbook'}]",RT @Meritc_: {iPhone X 🍎 Space Grey} #apple #iphonex #ios #iphonephotography #iphone8plus #iphone8 #iphone7plus #iphone7 #macbook #macbookp…,Bot
9.9E+17,29-04-18 2:36,Meritc_,469,"California, USA",FALSE,26,567,5122,163,FALSE,"[{'indices': [24, 30], 'text': 'apple'}, {'indices': [31, 39], 'text': 'iphonex'}, {'indices': [40, 44], 'text': 'ios'}, {'indices': [45, 63], 'text': 'iphonephotography'}, {'indices': [64, 76], 'text': 'iphone8plus'}, {'indices': [77, 85], 'text': 'iphone8'}, {'indices': [86, 98], 'text': 'iphone7plus'}, {'indices': [99, 107], 'text': 'iphone7'}]",{iPhone X 🍎 Space Grey} #apple #iphonex #ios #iphonephotography #iphone8plus #iphone8 #iphone7plus #iphone7…,NoBot
9.9E+17,29-04-18 2:32,kilroylane,294,kilroy ln WEAR YOUR SOCKS,FALSE,599,19814,11832,7236,FALSE,[],im playing fortnite on my iphone8 the future is now,Bot
9.9E+17,29-04-18 2:30,iPhone8andx,1903,United States,FALSE,56,17444,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 18,Bot
9.9E+17,29-04-18 2:30,RealJdm819,323,Tiny Village,FALSE,187,613,18621,29366,TRUE,"[{'indices': [77, 85], 'text': 'iPhone8'}]",No Filter One Shot of this Gorgeous East Longmeadow Sun Setting 😍 ° ° ° ° ° #iPhone8…,NoBot
9.9E+17,29-04-18 2:26,AminSaifuddin95,123,,FALSE,94,541,6111,4646,TRUE,"[{'indices': [24, 32], 'text': 'iphone8'}]",Yesterday i checked out #iphone8 Product : RED with all the glorious hype from youtubers..and in my honest opinion.…,NoBot
9.9E+17,29-04-18 2:23,civictyper4693,165,大分県宇佐市,FALSE,187,17910,3467,1816,TRUE,[],iPhone8,Bot
9.9E+17,29-04-18 2:17,ReadySetIndGame,2101,"Maryland, USA",FALSE,495,579,19088,106836,FALSE,"[{'indices': [114, 127], 'text': 'Androidgames'}, {'indices': [128, 143], 'text': 'RetweeetPlease'}]",RT @ate10games: Top 10 Racing Games With Realistic Graphics for Android &amp; iOS ⤵⤵ Link:https://t.co/dndNL593Lo #Androidgames #RetweeetPlease…,NoBot
9.9E+17,29-04-18 2:01,iPhone8andx,1903,United States,FALSE,56,18154,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 17,Bot
9.9E+17,29-04-18 1:35,CaseSwaggerUS,113,"Pennsylvania, USA",FALSE,28,544,208,278,FALSE,[],Perfect number for that Saturday night out. This Lipstick Marble design will not let you down. Be sure to signup at…,NoBot
9.9E+17,29-04-18 1:31,pinopride,23229,,FALSE,118,115,231,1075,FALSE,"[{'indices': [53, 56], 'text': 'AC'}, {'indices': [60, 67], 'text': 'Energy'}, {'indices': [84, 94], 'text': 'Renewable'}, {'indices': [95, 101], 'text': 'Solar'}, {'indices': [102, 108], 'text': 'Power'}]",Make Right Climate Changes Now with New Life Style! #AC/DC #Energy Integrated with #Renewable #Solar #Power…,NoBot
9.9E+17,29-04-18 1:30,lebo1675,490,Welgedag gauteng,FALSE,565,14760,570,387,FALSE,"[{'indices': [18, 32], 'text': 'JUST_LAUNCHED'}, {'indices': [33, 45], 'text': 'Competition'}, {'indices': [98, 109], 'text': 'winiPhone8'}, {'indices': [110, 126], 'text': 'giveawayiPhone8'}]",RT @Free_iphone8: #JUST_LAUNCHED #Competition Retweet &amp; Follow me @Free_iphone8 for chance to #winiPhone8 #giveawayiPhone8 good luck! https…,Bot
9.9E+17,29-04-18 1:30,iPhone8andx,1903,United States,FALSE,56,11650,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [37, 45], 'text': 'iPhone8'}, {'indices': [107, 116], 'text': 'Giveaway'}, {'indices': [117, 123], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp;amp; #iPhone8 ?? just RETWEET &amp;amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone…,Bot
9.9E+17,29-04-18 1:12,o22ie,140,Earth,FALSE,146,18191,3470,8789,TRUE,"[{'indices': [27, 34], 'text': 'mexico'}, {'indices': [35, 44], 'text': 'vacation'}, {'indices': [45, 50], 'text': 'moon'}, {'indices': [51, 61], 'text': 'full_moon'}, {'indices': [62, 75], 'text': 'iphone8_plus'}, {'indices': [76, 86], 'text': 'no_filter'}]",Good evening from Mexico. #mexico #vacation #moon #full_moon #iphone8_plus #no_filter…,Bot
9.9E+17,29-04-18 1:11,Dennie_Kuik,43,Beek | Limburg,FALSE,63,219,1,326,TRUE,"[{'indices': [24, 36], 'text': 'clashroyale'}, {'indices': [37, 49], 'text': 'mobilegames'}, {'indices': [50, 61], 'text': 'clanleader'}, {'indices': [62, 68], 'text': 'games'}, {'indices': [69, 79], 'text': 'supercell'}, {'indices': [80, 88], 'text': 'iphone8'}]",New personal best 4614😍 #clashroyale #mobilegames #clanleader #games #supercell #iphone8…,NoBot
9.9E+17,29-04-18 0:40,ClashRoyaleNew9,1440,"Mesa, AZ",FALSE,103,533,1444,29471,FALSE,"[{'indices': [41, 53], 'text': 'clashroyale'}, {'indices': [54, 66], 'text': 'mobilegames'}, {'indices': [67, 78], 'text': 'clanleader'}, {'indices': [79, 85], 'text': 'games'}, {'indices': [86, 96], 'text': 'supercell'}, {'indices': [97, 105], 'text': 'iphone8'}]",RT @Dennie_Kuik: New personal best 4589😍 #clashroyale #mobilegames #clanleader #games #supercell #iphone8,NoBot
9.9E+17,29-04-18 0:39,rose_adra,1,,FALSE,39,16663,4,25,FALSE,"[{'indices': [62, 70], 'text': 'iPhone8'}, {'indices': [77, 89], 'text': 'iPhone8Plus'}]",RT @kalluxrz: My first iPhone 8 Giveaway 😍📱 Win the brand new #iPhone8 &amp; #iPhone8Plus! To win just retweet this post &amp; follow us. Winners w…,Bot
9.9E+17,29-04-18 0:33,Dennie_Kuik,43,Beek | Limburg,FALSE,63,774,1,326,TRUE,"[{'indices': [24, 36], 'text': 'clashroyale'}, {'indices': [37, 49], 'text': 'mobilegames'}, {'indices': [50, 61], 'text': 'clanleader'}, {'indices': [62, 68], 'text': 'games'}, {'indices': [69, 79], 'text': 'supercell'}, {'indices': [80, 88], 'text': 'iphone8'}]",New personal best 4589😍 #clashroyale #mobilegames #clanleader #games #supercell #iphone8,NoBot
9.9E+17,29-04-18 0:03,iPhone8andx,1903,United States,FALSE,56,12777,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 13,Bot
9.9E+17,29-04-18 0:00,eversobling,709,,FALSE,1358,12981,0,6024,FALSE,"[{'indices': [84, 92], 'text': 'iPhone8'}, {'indices': [93, 101], 'text': 'iPhoneX'}, {'indices': [102, 113], 'text': 'BlingBling'}]",Floral Leopardo 3D Bling Swarovski Crystal iPhone 8 and iPhone 8 Plus Case - Brown #iPhone8 #iPhoneX #BlingBling…,Bot
9.9E+17,28-04-18 23:57,potemaru_b,593,スペースアートスタジオ,FALSE,510,10023,31685,19236,FALSE,[],@dream51030 iPhone8+,Bot
9.9E+17,28-04-18 23:42,TheRealYoung_TY,144,"Inglewood, CA",FALSE,361,15957,112,259,TRUE,[],iPhone8 in my pocket wit no case ..... I shoulda juss dropped it ⚡️,Bot
9.9E+17,28-04-18 23:31,lisamarie_evans,220,California,FALSE,183,916,33683,3366,TRUE,[],@thataylaa Here’s my phone case and bag! It was great meeting you! P.S. You’re not that short in p…,NoBot
9.9E+17,28-04-18 23:23,iPhone_wp_sc_en,4116,,FALSE,512,601,0,30617,FALSE,"[{'indices': [41, 49], 'text': 'iphone8'}, {'indices': [50, 60], 'text': 'wallpaper'}]",Women silhouette #iphone8 #wallpaper,NoBot
9.9E+17,28-04-18 23:00,iphone_ziho_bot,1268,,FALSE,1340,10289,0,40500,FALSE,[],iphone8,Bot
9.9E+17,28-04-18 22:56,that_guy_rell,747,Detroit ,FALSE,428,600,1185,29410,TRUE,"[{'indices': [0, 7], 'text': 'iTunes'}, {'indices': [8, 19], 'text': 'AppleUsers'}, {'indices': [20, 28], 'text': 'iPhoneX'}, {'indices': [29, 37], 'text': 'iPhone8'}, {'indices': [38, 43], 'text': 'ipad'}, {'indices': [103, 111], 'text': 'Detroit'}]","#iTunes #AppleUsers #iPhoneX #iPhone8 #ipad Checkout Detroit’s Rawest Podcast Show, the 313 Live Show. #Detroit…",NoBot
9.9E+17,28-04-18 22:22,SelmaCardosoC,901,Portugal,FALSE,682,186,2383,1696,FALSE,"[{'indices': [56, 63], 'text': 'floral'}, {'indices': [64, 72], 'text': 'flowers'}, {'indices': [73, 80], 'text': 'flower'}, {'indices': [81, 89], 'text': 'blossom'}, {'indices': [90, 94], 'text': 'art'}, {'indices': [95, 102], 'text': 'spring'}, {'indices': [103, 110], 'text': 'summer'}, {'indices': [111, 118], 'text': 'iPhone'}, {'indices': [119, 127], 'text': 'iPhoneX'}, {'indices': [128, 139], 'text': 'iphonecase'}]",RT @Kakelstore: My NEW 'Floret' design at @Casetify !!! #floral #flowers #flower #blossom #art #spring #summer #iPhone #iPhoneX #iphonecase…,NoBot
9.9E+17,28-04-18 22:20,cherryglazeer,579,,FALSE,290,738,14800,4827,TRUE,[],wow the iPhone8 shows all the texture on my face LOL,NoBot
9.9E+17,28-04-18 22:20,starmediaguy,1306,Rocky Mountains. ,FALSE,1711,16199,1824,64330,TRUE,"[{'indices': [78, 86], 'text': 'iPhone8'}]","After a couple of months of use, think I can say with some certainty that the #iPhone8 is a POS. Makes me long for…",Bot
9.9E+17,28-04-18 22:06,hilmihalim7,0,Brunei,FALSE,23,447,66,11,FALSE,[],"@SuperStarJYP after updating this game, i experience some lagg, i dont know why😔 anyone experience the same thing? im using iphone8+",NoBot
9.9E+17,28-04-18 21:53,edilsoncaardoso,109,São Paulo - SP,FALSE,361,19514,18,3608,FALSE,[],"good night twitter guys ... anyone who has a dream to win a ps4, or an iphone8 of gracas, just click on this link…",Bot
9.9E+17,28-04-18 21:40,minmochi92,6,,FALSE,145,17981,716,646,FALSE,"[{'indices': [19, 24], 'text': '김데일리'}, {'indices': [105, 120], 'text': 'PremiosMTVMiaw'}, {'indices': [121, 134], 'text': 'MTVBRKPOPBTS'}]",RT @kookie_for_jk: #김데일리 b.g (25page) iPhone8 iPhoneX #PremiosMTVMiaw #MTVBRKPOPBTS @BTS…,Bot
9.9E+17,28-04-18 21:37,shannongaleCT,122,Connecticut,FALSE,232,509,89,1365,FALSE,"[{'indices': [15, 23], 'text': 'iphone8'}]",Also shot with #iphone8 on portrait. It makes some interesting choices when handling…,NoBot
9.9E+17,28-04-18 21:35,xo__Kaaaay,130,,FALSE,94,834,3458,38930,TRUE,[],I’m so glad I got the iPhone8+ I feel like the X is too much for me,NoBot
9.9E+17,28-04-18 21:34,shannongaleCT,122,Connecticut,FALSE,232,514,89,1365,FALSE,"[{'indices': [13, 21], 'text': 'iphone8'}, {'indices': [46, 52], 'text': 'phone'}, {'indices': [75, 83], 'text': 'talking'}]",Shot with an #iphone8 on portrait mode. Your #phone is for more than just #talking.,NoBot
9.9E+17,28-04-18 21:31,Najuma65731390,76,"Cape Town, South Africa",FALSE,387,10451,1654,1539,FALSE,"[{'indices': [17, 21], 'text': 'Win'}, {'indices': [35, 43], 'text': 'iPhoneX'}, {'indices': [50, 58], 'text': 'iPhone8'}, {'indices': [116, 125], 'text': 'Giveaway'}, {'indices': [126, 132], 'text': 'Phone'}]",RT @iPhone8andx: #Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone,Bot
9.9E+17,28-04-18 21:30,iPhone8andx,1903,United States,FALSE,56,16006,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 8,Bot
9.9E+17,28-04-18 21:20,scifryer2,7,"here, there, and everywhere",FALSE,4,283,1,450,FALSE,"[{'indices': [68, 71], 'text': 'AC'}, {'indices': [75, 82], 'text': 'Energy'}, {'indices': [99, 109], 'text': 'Renewable'}, {'indices': [110, 116], 'text': 'Solar'}, {'indices': [117, 123], 'text': 'Power'}, {'indices': [124, 137], 'text': 'PowerCharger'}]",RT @pinopride: Make Right Climate Changes Now with New Life Style! #AC/DC #Energy Integrated with #Renewable #Solar #Power #PowerCharger #…,NoBot
9.9E+17,28-04-18 21:00,Wang_Lang,375,"Miami, FL",FALSE,1140,18515,1570,1372,TRUE,"[{'indices': [53, 65], 'text': 'mainsqueeze'}, {'indices': [66, 71], 'text': 'funk'}, {'indices': [72, 80], 'text': 'iphone8'}]",“Rob Skywalker and Dr. Funk himself” @MainSqueezeMe #mainsqueeze #funk #iphone8 @ Terminal West,Bot
9.9E+17,28-04-18 20:58,mapipooffice,146,,FALSE,387,10542,20,2110,FALSE,"[{'indices': [37, 43], 'text': 'OFURO'}, {'indices': [82, 94], 'text': 'newAppStore'}]",The most unique Bath Light app ever. #OFURO DSP @AppStore #newAppStore…,Bot
9.9E+17,28-04-18 20:45,EzMobiles,4367,Bristol the UK,FALSE,3371,588,13454,127376,TRUE,"[{'indices': [10, 18], 'text': 'iPhone8'}]","Order The #iPhone8 @Mobilescouk Via @EzMobiles With 4GB 4G Data, Unlimited Mins/Text For Only £30 P/M…",NoBot
9.9E+17,28-04-18 20:35,LifeHacksIRL,5922,,FALSE,6122,286,29,4802,FALSE,"[{'indices': [0, 3], 'text': 'RT'}, {'indices': [77, 88], 'text': 'AppleWatch'}, {'indices': [89, 97], 'text': 'iPhoneX'}, {'indices': [98, 116], 'text': 'AppleWatchSeries3'}, {'indices': [117, 124], 'text': 'iPhone'}, {'indices': [125, 133], 'text': 'iPhone8'}]",#RT @TechInRL: Setup Apple Watch on Your New iPhone! #AppleWatch #iPhoneX #AppleWatchSeries3 #iPhone #iPhone8,NoBot
9.9E+17,28-04-18 20:30,iPhone8andx,1903,United States,FALSE,56,10223,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 6,Bot
9.9E+17,28-04-18 20:29,MomentsOfMale,456,Worldwide,FALSE,16,13489,34173,33696,TRUE,"[{'indices': [36, 43], 'text': 'Elnido'}, {'indices': [44, 52], 'text': 'Palawan'}, {'indices': [53, 65], 'text': 'Philippines'}]",RT @NefuDaBoss: Swimming with the 🐠 #Elnido #Palawan #Philippines I’ll post the video with Jellyfish and Seaturtles on my YouTube. 🐟 #ipho…,Bot
9.9E+17,28-04-18 20:20,NtechYel,7753,"Boston, MA",FALSE,1779,617,8946,30298,FALSE,"[{'indices': [14, 17], 'text': 'AR'}, {'indices': [30, 41], 'text': 'mainstream'}, {'indices': [44, 52], 'text': 'iPhone8'}, {'indices': [53, 57], 'text': 'pre'}, {'indices': [58, 67], 'text': 'equipped'}, {'indices': [73, 90], 'text': 'AugmentedReality'}, {'indices': [105, 112], 'text': 'easier'}, {'indices': [116, 120], 'text': 'run'}, {'indices': [124, 129], 'text': 'apps'}]",RT @NtechYel: #AR is becoming #mainstream - #iPhone8 #pre #equipped with #AugmentedReality makes it even #easier to #run AR #apps,NoBot
9.9E+17,28-04-18 20:05,CONNORJ1985,55,"New York, NY",FALSE,367,15965,411,422,TRUE,"[{'indices': [17, 21], 'text': 'Win'}, {'indices': [35, 43], 'text': 'iPhoneX'}, {'indices': [54, 62], 'text': 'iPhone8'}, {'indices': [124, 133], 'text': 'Giveaway'}, {'indices': [134, 140], 'text': 'Phone'}]",RT @iPhone8andx: #Win one of these #iPhoneX &amp;amp; #iPhone8 ?? just RETWEET &amp;amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone,Bot
9.9E+17,28-04-18 20:04,yiyanli,54,"北京, 中华人民共和国",FALSE,197,13138,134,279,TRUE,"[{'indices': [14, 22], 'text': 'Pyramid'}, {'indices': [23, 28], 'text': 'Giza'}, {'indices': [29, 35], 'text': 'Egypt'}, {'indices': [36, 46], 'text': 'Skydiving'}, {'indices': [47, 55], 'text': 'iPhone8'}, {'indices': [56, 61], 'text': 'VSCO'}]",Airborne One. #Pyramid #Giza #Egypt #Skydiving #iPhone8 #VSCO,Bot
9.9E+17,28-04-18 20:02,DamienSchreurs,179,Luxembourg,FALSE,138,348,22,1731,FALSE,"[{'indices': [85, 91], 'text': 'apple'}, {'indices': [93, 98], 'text': 'ipad'}, {'indices': [100, 109], 'text': 'ipadmini'}]","How to Manage the Up Next queue in the Podcast app in iOS 11 #apple, #ipad, #ipadmini,…",NoBot
9.9E+17,28-04-18 20:00,galaxycommus,24,"Neptune, NJ",FALSE,147,11174,335,189,TRUE,"[{'indices': [72, 93], 'text': 'galaxycommunications'}, {'indices': [94, 101], 'text': 'iPhone'}, {'indices': [102, 110], 'text': 'iPhone8'}]","Adidas iPhone case available for iPhone 6s, Iphone7s and iPhone8 ⚽⚽ - - #galaxycommunications #iPhone #iPhone8…",Bot
9.9E+17,28-04-18 20:00,karthic180,842,"Bromley, London",FALSE,3258,689,17112,47282,TRUE,"[{'indices': [8, 12], 'text': 'iOS'}, {'indices': [51, 58], 'text': 'iphone'}, {'indices': [59, 67], 'text': 'iphone8'}]",The new #iOS update has. Surprise in store for all #iphone #iphone8 owners,NoBot
9.9E+17,28-04-18 19:58,CreateProsLLC,3979,"New York, NY and SoCal",FALSE,4933,132,292,1255,TRUE,"[{'indices': [0, 7], 'text': 'drones'}, {'indices': [8, 12], 'text': 'car'}, {'indices': [13, 21], 'text': 'iPhoneX'}, {'indices': [22, 30], 'text': 'iPhone8'}, {'indices': [31, 43], 'text': 'iPhone8Plus'}]",#drones #car #iPhoneX #iPhone8 #iPhone8Plus Plus Apple MFI Certif Lightning/USB Cable Blk 13in/33cm…,NoBot
9.9E+17,28-04-18 19:55,yiyanli,54,"北京, 中华人民共和国",FALSE,197,13078,134,279,TRUE,"[{'indices': [28, 36], 'text': 'Pyramid'}, {'indices': [37, 42], 'text': 'Giza'}, {'indices': [43, 49], 'text': 'Egypt'}, {'indices': [50, 60], 'text': 'Skydiving'}, {'indices': [61, 69], 'text': 'iPhone8'}, {'indices': [70, 75], 'text': 'VSCO'}]","Happy flight, Mr president. #Pyramid #Giza #Egypt #Skydiving #iPhone8 #VSCO",Bot
9.9E+17,28-04-18 19:54,PhanieChanceux,159,,FALSE,189,956,4069,8499,FALSE,"[{'indices': [54, 65], 'text': 'instavideo'}, {'indices': [66, 74], 'text': 'iphone8'}, {'indices': [75, 82], 'text': 'minime'}, {'indices': [83, 89], 'text': 'video'}, {'indices': [90, 95], 'text': 'film'}, {'indices': [96, 110], 'text': 'blackandwithe'}, {'indices': [111, 123], 'text': 'mygirlandme'}, {'indices': [124, 135], 'text': 'bambinamia'}]",RT @LucieBernardoni: Everything’s gonna be alright 🎈 #instavideo #iphone8 #minime #video #film #blackandwithe #mygirlandme #bambinamia #ba…,NoBot
9.9E+17,28-04-18 19:45,rorytucker,681,"Whistler, Squamish & Vancouver",FALSE,798,468,391,4097,FALSE,"[{'indices': [12, 18], 'text': 'HowTo'}, {'indices': [92, 101], 'text': 'Squamish'}]",The Trail. #HowTo Edit Video: (link in How To Stories) . Location: #Squamish Shot:…,NoBot
9.9E+17,28-04-18 19:45,elementalcases,110,"Los Angeles, CA",FALSE,64,274,8,1336,FALSE,"[{'indices': [22, 26], 'text': 'MUA'}, {'indices': [27, 36], 'text': 'darkrose'}, {'indices': [37, 52], 'text': 'elementalcases'}, {'indices': [53, 61], 'text': 'iPhoneX'}, {'indices': [62, 70], 'text': 'iPhone8'}, {'indices': [71, 83], 'text': 'iPhone8Plus'}]",Weekend wandering 🥀🖤💄 #MUA #darkrose #elementalcases #iPhoneX #iPhone8 #iPhone8Plus,NoBot
9.9E+17,28-04-18 19:27,TechGuyBert,82,"Toronto, ON",FALSE,266,16892,4763,6396,FALSE,"[{'indices': [76, 87], 'text': 'AppleWatch'}, {'indices': [88, 96], 'text': 'iPhoneX'}, {'indices': [97, 115], 'text': 'AppleWatchSeries3'}, {'indices': [116, 123], 'text': 'iPhone'}, {'indices': [124, 132], 'text': 'iPhone8'}]",RT @TechInRL: Setup Apple Watch on Your New iPhone! #AppleWatch #iPhoneX #AppleWatchSeries3 #iPhone #iPhone8,Bot
9.9E+17,28-04-18 19:22,GentleWayTradin,3334,World Wide,FALSE,3549,905,7100,4992,FALSE,"[{'indices': [80, 90], 'text': 'DailyDeal'}]",For iPhone X 8 7 iPhone8 Plus Luxury Shockproof Slim Hard Protective Case Cover #DailyDeal,NoBot
9.9E+17,28-04-18 19:19,NoVu_Promotions,315,Appstore,FALSE,100,635,1020,430,FALSE,"[{'indices': [75, 79], 'text': 'iOS'}, {'indices': [80, 86], 'text': 'Apple'}, {'indices': [87, 95], 'text': 'iPhonex'}, {'indices': [96, 104], 'text': 'iPhone8'}, {'indices': [105, 110], 'text': 'iPad'}, {'indices': [111, 122], 'text': 'AppleWatch'}, {'indices': [123, 134], 'text': 'pricedrops'}]",RT @NoVuapp: NoVu: GIF Keyboard Background 100 points F͙R͙E͙E͙ .@appsliced #iOS #Apple #iPhonex #iPhone8 #iPad #AppleWatch #pricedrops #Fre…,NoBot
9.9E+17,28-04-18 19:14,NoVuapp,5772,,FALSE,420,996,1387,499,FALSE,"[{'indices': [62, 66], 'text': 'iOS'}, {'indices': [67, 73], 'text': 'Apple'}, {'indices': [74, 82], 'text': 'iPhonex'}, {'indices': [83, 91], 'text': 'iPhone8'}, {'indices': [92, 97], 'text': 'iPad'}, {'indices': [98, 109], 'text': 'AppleWatch'}]",NoVu: GIF Keyboard Background 100 points F͙R͙E͙E͙ .@appsliced #iOS #Apple #iPhonex #iPhone8 #iPad #AppleWatch…,NoBot
