,id,created_at,user_screen_name,user_followers_count,user_location,user_verified,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count,user_geo_enabled,Hashtags,text,Bot_or_NoBot,
24,9.90398E+17,29-04-18 1:12,o22ie,140,Earth,FALSE,146,12,3470,8789,TRUE,"[{'indices': [27, 34], 'text': 'mexico'}, {'indices': [35, 44], 'text': 'vacation'}, {'indices': [45, 50], 'text': 'moon'}, {'indices': [51, 61], 'text': 'full_moon'}, {'indices': [62, 75], 'text': 'iphone8_plus'}, {'indices': [76, 86], 'text': 'no_filter'}]",Good evening from Mexico. #mexico #vacation #moon #full_moon #iphone8_plus #no_filter…,0,
27,9.9039E+17,29-04-18 0:39,rose_adra,1,,FALSE,39,0,4,25,FALSE,"[{'indices': [62, 70], 'text': 'iPhone8'}, {'indices': [77, 89], 'text': 'iPhone8Plus'}]",RT @kalluxrz: My first iPhone 8 Giveaway 😍📱 Win the brand new #iPhone8 &amp; #iPhone8Plus! To win just retweet this post &amp; follow us. Winners w…,0,
29,9.90381E+17,29-04-18 0:03,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 13,0,
30,9.9038E+17,29-04-18 0:00,eversobling,709,,FALSE,1358,4,0,6024,FALSE,"[{'indices': [84, 92], 'text': 'iPhone8'}, {'indices': [93, 101], 'text': 'iPhoneX'}, {'indices': [102, 113], 'text': 'BlingBling'}]",Floral Leopardo 3D Bling Swarovski Crystal iPhone 8 and iPhone 8 Plus Case - Brown #iPhone8 #iPhoneX #BlingBling…,0,
31,9.9038E+17,28-04-18 23:57,potemaru_b,593,スペースアートスタジオ,FALSE,510,15,31685,19236,FALSE,[],@dream51030 iPhone8+,0,
32,9.90376E+17,28-04-18 23:42,TheRealYoung_TY,144,"Inglewood, CA",FALSE,361,3,112,259,TRUE,[],iPhone8 in my pocket wit no case ..... I shoulda juss dropped it ⚡️,0,
35,9.90365E+17,28-04-18 23:00,iphone_ziho_bot,1268,,FALSE,1340,15,0,40500,FALSE,[],iphone8,0,
39,9.90355E+17,28-04-18 22:20,starmediaguy,1306,Rocky Mountains. ,FALSE,1711,245,1824,64330,TRUE,"[{'indices': [78, 86], 'text': 'iPhone8'}]","After a couple of months of use, think I can say with some certainty that the #iPhone8 is a POS. Makes me long for…",0,
41,9.90348E+17,28-04-18 21:53,edilsoncaardoso,109,São Paulo - SP,FALSE,361,0,18,3608,FALSE,[],"good night twitter guys ... anyone who has a dream to win a ps4, or an iphone8 of gracas, just click on this link…",0,
42,9.90345E+17,28-04-18 21:40,minmochi92,6,,FALSE,145,0,716,646,FALSE,"[{'indices': [19, 24], 'text': '김데일리'}, {'indices': [105, 120], 'text': 'PremiosMTVMiaw'}, {'indices': [121, 134], 'text': 'MTVBRKPOPBTS'}]",RT @kookie_for_jk: #김데일리 b.g (25page) iPhone8 iPhoneX #PremiosMTVMiaw #MTVBRKPOPBTS @BTS…,0,
46,9.90343E+17,28-04-18 21:31,Najuma65731390,76,"Cape Town, South Africa",FALSE,387,0,1654,1539,FALSE,"[{'indices': [17, 21], 'text': 'Win'}, {'indices': [35, 43], 'text': 'iPhoneX'}, {'indices': [50, 58], 'text': 'iPhone8'}, {'indices': [116, 125], 'text': 'Giveaway'}, {'indices': [126, 132], 'text': 'Phone'}]",RT @iPhone8andx: #Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone,0,
47,9.90343E+17,28-04-18 21:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 8,0,
49,9.90335E+17,28-04-18 21:00,Wang_Lang,375,"Miami, FL",FALSE,1140,3,1570,1372,TRUE,"[{'indices': [53, 65], 'text': 'mainsqueeze'}, {'indices': [66, 71], 'text': 'funk'}, {'indices': [72, 80], 'text': 'iphone8'}]",“Rob Skywalker and Dr. Funk himself” @MainSqueezeMe #mainsqueeze #funk #iphone8 @ Terminal West,0,
50,9.90334E+17,28-04-18 20:58,mapipooffice,146,,FALSE,387,2,20,2110,FALSE,"[{'indices': [37, 43], 'text': 'OFURO'}, {'indices': [82, 94], 'text': 'newAppStore'}]",The most unique Bath Light app ever. #OFURO DSP @AppStore #newAppStore…,0,
53,9.90327E+17,28-04-18 20:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 6,0,
54,9.90327E+17,28-04-18 20:29,MomentsOfMale,456,Worldwide,FALSE,16,177,34173,33696,TRUE,"[{'indices': [36, 43], 'text': 'Elnido'}, {'indices': [44, 52], 'text': 'Palawan'}, {'indices': [53, 65], 'text': 'Philippines'}]",RT @NefuDaBoss: Swimming with the 🐠 #Elnido #Palawan #Philippines I’ll post the video with Jellyfish and Seaturtles on my YouTube. 🐟 #ipho…,0,
56,9.90321E+17,28-04-18 20:05,CONNORJ1985,55,"New York, NY",FALSE,367,1,411,422,TRUE,"[{'indices': [17, 21], 'text': 'Win'}, {'indices': [35, 43], 'text': 'iPhoneX'}, {'indices': [54, 62], 'text': 'iPhone8'}, {'indices': [124, 133], 'text': 'Giveaway'}, {'indices': [134, 140], 'text': 'Phone'}]",RT @iPhone8andx: #Win one of these #iPhoneX &amp;amp; #iPhone8 ?? just RETWEET &amp;amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone,0,
57,9.90321E+17,28-04-18 20:04,yiyanli,54,"北京, 中华人民共和国",FALSE,197,3,134,279,TRUE,"[{'indices': [14, 22], 'text': 'Pyramid'}, {'indices': [23, 28], 'text': 'Giza'}, {'indices': [29, 35], 'text': 'Egypt'}, {'indices': [36, 46], 'text': 'Skydiving'}, {'indices': [47, 55], 'text': 'iPhone8'}, {'indices': [56, 61], 'text': 'VSCO'}]",Airborne One. #Pyramid #Giza #Egypt #Skydiving #iPhone8 #VSCO,0,
59,9.9032E+17,28-04-18 20:00,galaxycommus,24,"Neptune, NJ",FALSE,147,1,335,189,TRUE,"[{'indices': [72, 93], 'text': 'galaxycommunications'}, {'indices': [94, 101], 'text': 'iPhone'}, {'indices': [102, 110], 'text': 'iPhone8'}]","Adidas iPhone case available for iPhone 6s, Iphone7s and iPhone8 ⚽⚽ - - #galaxycommunications #iPhone #iPhone8…",0,
62,9.90319E+17,28-04-18 19:55,yiyanli,54,"北京, 中华人民共和国",FALSE,197,3,134,279,TRUE,"[{'indices': [28, 36], 'text': 'Pyramid'}, {'indices': [37, 42], 'text': 'Giza'}, {'indices': [43, 49], 'text': 'Egypt'}, {'indices': [50, 60], 'text': 'Skydiving'}, {'indices': [61, 69], 'text': 'iPhone8'}, {'indices': [70, 75], 'text': 'VSCO'}]","Happy flight, Mr president. #Pyramid #Giza #Egypt #Skydiving #iPhone8 #VSCO",0,
66,9.90312E+17,28-04-18 19:27,TechGuyBert,82,"Toronto, ON",FALSE,266,19,4763,6396,FALSE,"[{'indices': [76, 87], 'text': 'AppleWatch'}, {'indices': [88, 96], 'text': 'iPhoneX'}, {'indices': [97, 115], 'text': 'AppleWatchSeries3'}, {'indices': [116, 123], 'text': 'iPhone'}, {'indices': [124, 132], 'text': 'iPhone8'}]",RT @TechInRL: Setup Apple Watch on Your New iPhone! #AppleWatch #iPhoneX #AppleWatchSeries3 #iPhone #iPhone8,0,
70,9.90306E+17,28-04-18 19:05,TechInRL,1351,Canada,FALSE,1444,1,4,1865,FALSE,"[{'indices': [62, 73], 'text': 'AppleWatch'}, {'indices': [74, 82], 'text': 'iPhoneX'}, {'indices': [83, 101], 'text': 'AppleWatchSeries3'}, {'indices': [102, 109], 'text': 'iPhone'}, {'indices': [110, 118], 'text': 'iPhone8'}]",Setup Apple Watch on Your New iPhone! #AppleWatch #iPhoneX #AppleWatchSeries3 #iPhone #iPhone8,0,
75,9.90298E+17,28-04-18 18:34,MoeM3Power,1891,"Munich, Bavaria",FALSE,1841,458,2693,23094,TRUE,"[{'indices': [88, 96], 'text': 'NewTech'}, {'indices': [97, 109], 'text': 'CuttingEdge'}]",Google's Pixel 3 Can Beat Apple And Samsung With These Features #NewTech #CuttingEdge…,0,
76,9.90297E+17,28-04-18 18:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 3,0,
77,9.90297E+17,28-04-18 18:30,CaseSwaggerUS,113,"Pennsylvania, USA",FALSE,28,19,208,278,FALSE,[],"Definitely not your grandfathers camo, check out all the vibrant camo designs today! Be sure to signup at…",0,
79,9.90295E+17,28-04-18 18:23,iPhone_wp_sc_en,4116,,FALSE,512,53,0,30617,FALSE,"[{'indices': [34, 42], 'text': 'iphone8'}, {'indices': [43, 53], 'text': 'wallpaper'}]",Cloud Sky #iphone8 #wallpaper,0,
82,9.9029E+17,28-04-18 18:00,iPhoneXNewsNow,412,United States,FALSE,2935,1,2899,720,FALSE,"[{'indices': [71, 79], 'text': 'iphonex'}, {'indices': [80, 88], 'text': 'iphone8'}]",Only 8 Million iPhone X Units Will be Manufactured in Q2 2018: Report #iphonex #iphone8,0,
84,9.90281E+17,28-04-18 17:24,serviceIcloudUs,20,United Kingdom,FALSE,0,1,16,243,FALSE,"[{'indices': [108, 115], 'text': 'iphone'}]",RT @serviceIcloudUs: iCloud Remove activation lock FREE. solution 👇 Server unlock #iphone✅ #Amsterdam#nederlands…,0,
85,9.90275E+17,28-04-18 17:01,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [24, 28], 'text': 'Win'}, {'indices': [42, 50], 'text': 'iPhoneX'}, {'indices': [57, 65], 'text': 'iPhone8'}, {'indices': [123, 132], 'text': 'Giveaway'}, {'indices': [133, 139], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 48,0,
88,9.90269E+17,28-04-18 16:38,Achaulait,504,Sûrement en Alaska,FALSE,1083,17,30428,15769,TRUE,[],@GiloulPV 1 iPhone8 cpas 50 centimes,0,
90,9.90262E+17,28-04-18 16:12,galaxycommus,24,"Neptune, NJ",FALSE,147,1,335,189,TRUE,"[{'indices': [41, 50], 'text': 'casemate'}, {'indices': [51, 59], 'text': 'iphonex'}, {'indices': [60, 71], 'text': 'iridescent'}, {'indices': [72, 82], 'text': 'toughlove'}, {'indices': [83, 91], 'text': 'iphonex'}, {'indices': [92, 103], 'text': 'iridescent'}, {'indices': [104, 114], 'text': 'toughlove'}]",For all you Iridescent lovers💕 • • • #casemate #iphonex #iridescent #toughlove #iphonex #iridescent #toughlove…,0,
91,9.90262E+17,28-04-18 16:10,2ShoppingTrends,3253,United States,FALSE,2688,361,3516,7436,FALSE,"[{'indices': [21, 27], 'text': 'Check'}, {'indices': [32, 50], 'text': 'AliceinWonderland'}, {'indices': [51, 57], 'text': 'Black'}, {'indices': [58, 63], 'text': 'Hard'}, {'indices': [64, 69], 'text': 'Case'}, {'indices': [83, 89], 'text': 'Cover'}, {'indices': [90, 98], 'text': 'iphone6'}, {'indices': [99, 107], 'text': 'iPhone7'}, {'indices': [108, 116], 'text': 'iPhone8'}, {'indices': [117, 129], 'text': 'iPhone7Plus'}, {'indices': [130, 136], 'text': 'Apple'}]","RT @2ShoppingTrends: #Check out #AliceinWonderland #Black #Hard #Case 2.99"" Fitted #Cover #iphone6 #iPhone7 #iPhone8 #iPhone7Plus #Apple #…",0,
95,9.90256E+17,28-04-18 15:45,Winner_Unusual,99,Nigeria,FALSE,620,0,25,77,FALSE,[],@iPhone8andx iphone8,0,
97,9.90252E+17,28-04-18 15:32,Lockonloski,1228,,FALSE,1145,0,51,1141,TRUE,[],I want that red iPhone8,0,
98,9.90252E+17,28-04-18 15:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [24, 28], 'text': 'Win'}, {'indices': [42, 50], 'text': 'iPhoneX'}, {'indices': [57, 65], 'text': 'iPhone8'}, {'indices': [123, 132], 'text': 'Giveaway'}, {'indices': [133, 139], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone H,0,
104,9.90242E+17,28-04-18 14:52,KameeniChhori,14389,Kolkata. Chennai.,FALSE,152,196,8293,67496,FALSE,"[{'indices': [63, 71], 'text': 'iphone8'}]","Hey @airtelindia , here's my Airtel 4G selfie! Hope to win the #iphone8. Get clicking guys (tags: @ImSandeshJain,…",0,
105,9.90241E+17,28-04-18 14:46,Cases_Space_,17,,FALSE,2,1,2,2425,FALSE,"[{'indices': [56, 64], 'text': 'iphone8'}, {'indices': [65, 73], 'text': 'iphonex'}]","Baseball Cases For iPhone 4/5/6/7/8, 4/5/6s, 6/7/8 Plus #iphone8 #iphonex",0,
109,9.90237E+17,28-04-18 14:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 43,0,
110,9.90237E+17,28-04-18 14:30,NewApps4me,12519,Global,FALSE,13790,158,10440,74517,TRUE,"[{'indices': [52, 60], 'text': 'iphone8'}]",Cult of Mac Magazine: Who is Apple’s best CEO ever? #iphone8,0,
112,9.90236E+17,28-04-18 14:28,ioanna_238,151,"England, United Kingdom",FALSE,948,3,492,188,FALSE,"[{'indices': [73, 80], 'text': 'buynow'}, {'indices': [81, 90], 'text': 'discount'}, {'indices': [91, 104], 'text': 'discountcode'}, {'indices': [105, 111], 'text': 'sales'}, {'indices': [112, 119], 'text': 'iphone'}, {'indices': [120, 128], 'text': 'iphonex'}, {'indices': [129, 137], 'text': 'iphone7'}]",RT @ioanna_238: Code: T20 gives you 20% off on 😍 #buynow #discount #discountcode #sales #iphone #iphonex #iphone7 #…,0,
115,9.90233E+17,28-04-18 14:15,_Yuki_K_,45,"Tokyo, JP",FALSE,84,4,9,1630,TRUE,"[{'indices': [7, 15], 'text': 'iphone8'}, {'indices': [27, 36], 'text': 'applepay'}]",Got an #iphone8 and set up #applepay by registering some credit cards in it. I dropped in on the nearest 7-Eleven t…,0,
118,9.90229E+17,28-04-18 14:00,eversobling,709,,FALSE,1358,4,0,6024,FALSE,"[{'indices': [83, 91], 'text': 'iPhone8'}, {'indices': [92, 100], 'text': 'iPhoneX'}, {'indices': [101, 112], 'text': 'BlingBling'}]",Floral Ribbon 3D Bling Swarovski Crystal iPhone 8 and iPhone 8 Plus Case - Purple #iPhone8 #iPhoneX #BlingBling C…,0,
119,9.90226E+17,28-04-18 13:45,GETIT_QA,62,Qatar,FALSE,488,1,30,124,FALSE,"[{'indices': [101, 108], 'text': 'iphone'}, {'indices': [109, 115], 'text': 'apple'}]","Shop for Latest iPhone Now. Choose from a selected range for you, just visit #iphone #apple…",0,
120,9.90225E+17,28-04-18 13:43,eStufsTech,391,India,FALSE,638,3,150,787,TRUE,"[{'indices': [8, 16], 'text': 'iPhone8'}, {'indices': [21, 33], 'text': 'iPhone8Plus'}, {'indices': [99, 108], 'text': 'ReadMore'}]",Apple’s #iPhone8 and #iPhone8Plus (PRODUCT) RED Editions are now available for purchase in India. #ReadMore…,0,
121,9.90222E+17,28-04-18 13:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 41,0,
122,9.90221E+17,28-04-18 13:27,sp_wallpaper,515,Web,FALSE,30,59,0,33132,FALSE,"[{'indices': [82, 90], 'text': 'iphone8'}, {'indices': [91, 101], 'text': 'wallpaper'}]",SmartPhone Wallpaper info:Landscape trees black and white #iphone8 #wallpaper,0,
125,9.90217E+17,28-04-18 13:09,MEDIABOXSTORE,22667,Egypt,FALSE,5268,1642,1967,550283,FALSE,[],"Item specifics Condition: New: A brand-new, unused, unopened, undamaged item in its…",0,
128,9.90215E+17,28-04-18 13:02,boomboxfun,5112,Egypt,FALSE,1756,225,54,74366,FALSE,[],For iPhone X 8 7 6 6S iphone8 Plus Shockproof Hybrid Bumper Slim Case Cover: Item specifics…,0,
130,9.90207E+17,28-04-18 12:30,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 39,0,
131,9.90204E+17,28-04-18 12:19,NaijaStore,3369,Online,FALSE,3330,80,5100,23494,FALSE,"[{'indices': [30, 46], 'text': 'WirelessCharger'}]","RT @NaijaStore: Yootech Smart #WirelessCharger Pad for iPhone8 iPhoneX, Samsung Galaxy ..see details→https://t.co/v3MHLrhuLF",0,
133,9.902E+17,28-04-18 12:03,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone u,0,
136,9.90196E+17,28-04-18 11:49,Shutterbwoy,11734,"Mumbai, India",FALSE,511,15,7021,14913,FALSE,"[{'indices': [17, 25], 'text': 'iPhone8'}, {'indices': [97, 111], 'text': 'T20onAirtel4G'}]",You also can win #iPhone8 every day with clicking your selfie with @airtelindia Airtel 4G card. #T20onAirtel4G ! G…,0,
137,9.90195E+17,28-04-18 11:46,carmelina567,206,"Dubai, United Arab Emirates",FALSE,818,14,1952,2180,FALSE,"[{'indices': [47, 60], 'text': 'Annualsurvey'}, {'indices': [94, 102], 'text': 'iPhone8'}]",RT @homegenie_me: Are you participating in our #Annualsurvey? Don't miss the chance to win an #iPhone8! Enter from here:,0,
138,9.90192E+17,28-04-18 11:31,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 35,0,
140,9.90187E+17,28-04-18 11:11,Kimishi_13,54,,FALSE,523,0,59,156,FALSE,[],RT @Neddy3283: iPhone X Giveaway! Like Retweet Follow me Comment your full adress And why you want iPhone! 1 Retweet = 1 iPhone 1 Follow…,0,
142,9.90185E+17,28-04-18 11:04,zeusadsolutions,1176,"Dehradun, India",FALSE,1943,88,56,3433,FALSE,"[{'indices': [13, 20], 'text': 'Mobile'}, {'indices': [21, 36], 'text': 'Appdevelopment'}, {'indices': [54, 62], 'text': 'Android'}, {'indices': [64, 72], 'text': 'iPhone8'}, {'indices': [80, 90], 'text': 'MobileApp'}]","Join leading #Mobile #Appdevelopment Company offering #Android, #iPhone8 Custom #MobileApp Development Services…",0,
143,9.90184E+17,28-04-18 11:01,iPhone8andx,1903,United States,FALSE,56,5,19,9863,FALSE,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone,0,
146,9.9018E+17,28-04-18 10:43,Pocket_PDCA,84,apple itunes store,FALSE,165,3,372,2669,FALSE,"[{'indices': [0, 5], 'text': 'PDCA'}, {'indices': [6, 14], 'text': 'iphone8'}, {'indices': [15, 21], 'text': 'ionic'}, {'indices': [22, 29], 'text': 'newapp'}]","#PDCA #iphone8 #ionic #newapp It is ""pocketPDCA"" that you can use easily PDCA cycle on your smartphone.…",0,
147,9.90179E+17,28-04-18 10:40,eversobling,709,,FALSE,1358,4,0,6024,FALSE,"[{'indices': [60, 68], 'text': 'iPhone8'}, {'indices': [69, 77], 'text': 'iPhoneX'}, {'indices': [78, 89], 'text': 'BlingBling'}]",Leo Bling Swarovski Crystal iPhone 8 and iPhone 8 Plus Case #iPhone8 #iPhoneX #BlingBling Click here -&gt;…,0,
151,9.90171E+17,28-04-18 10:08,Gizchina,11899,"Qingdao, China",FALSE,472,273,9,26386,FALSE,"[{'indices': [78, 86], 'text': 'iPhone8'}, {'indices': [87, 94], 'text': 'iPhone'}]","Apple iPhone 8, iPhone 8 Plus (Product) Red Special Edition launched in India #iPhone8 #iPhone 8Plus (PRODUCT) RED…",0,
152,9.9017E+17,28-04-18 10:06,DamienSchreurs,179,Luxembourg,FALSE,138,10,22,1731,FALSE,"[{'indices': [88, 94], 'text': 'Apple'}, {'indices': [95, 99], 'text': 'iOS'}, {'indices': [100, 107], 'text': 'iCloud'}, {'indices': [108, 115], 'text': 'iPhone'}]",Wondering how to sync Google Photos with iCloud Photo Library? #Apple #iOS #iCloud #iPhone…,0,
